year,lettuce,broccoli,spinach,collard greens,kale,mustard greens,turnip greens,tomatoes,carrots,pumpkins,sweet potatoes,potatoes,corn,lima beans,dry beans,dry peas lentils,other vegetables
2000,0.06065875,0.041382606,0.01592135,0.002789927,0.000878488,0.002869861,0.001935178,0.182026568,0.057524133,0.000393594,0.008496386,0.680152423,0.057377645,0.002113321,0.182744974,0.004148629,0.465754892
2001,0.058271658,0.037823136,0.012547689,0.002766926,0.000837592,0.003050151,0.001558604,0.176337137,0.057215542,0.000351098,0.008828569,0.69067636,0.056312993,0.001636232,0.16670984,0.007144246,0.456549664
2002,0.068255401,0.037816154,0.016069378,0.002744276,0.000789426,0.002728372,0.001719623,0.186551032,0.051588034,0.000343429,0.007589751,0.656284482,0.052156459,0.001982478,0.161595181,0.004232976,0.450865531
2003,0.07646503,0.039873713,0.018088109,0.003138462,0.000706053,0.003120209,0.001962572,0.18340513,0.053567387,0.000321877,0.009488755,0.689071071,0.054169977,0.001869119,0.162735136,0.003802132,0.435501386
2004,0.083973535,0.040004244,0.020794512,0.00306373,0.000734579,0.003045791,0.001908063,0.186725256,0.052997032,0.000386198,0.009503696,0.667533109,0.053630466,0.001246834,0.143194847,0.005536015,0.438495721
2005,0.067784876,0.040318345,0.024771669,0.002674664,0.000802213,0.002658989,0.001664885,0.192144636,0.052958302,0.000410023,0.009174816,0.622245244,0.055781952,0.00134137,0.146012165,0.003686261,0.445615501
2006,0.083926287,0.040691183,0.020691266,0.002334781,0.000718786,0.001994825,0.001989198,0.177298853,0.04984288,0.000400342,0.009405449,0.626682761,0.054554727,0.001658937,0.156339138,0.014636026,0.42880301
2007,0.080299112,0.041790704,0.01788975,0.002450973,0.000769761,0.001543158,0.001720142,0.180906709,0.047731872,0.000425074,0.010285565,0.630313588,0.048224991,0.001583546,0.153452395,0.00550662,0.42495902
2008,0.072231268,0.044035355,0.01894943,0.00252155,0.000855412,0.001265734,0.001388134,0.175657808,0.04806502,0.000400314,0.010242844,0.588308153,0.046785197,0.001430877,0.154434837,0.000470002,0.4206616
2009,0.069016368,0.044149018,0.021946109,0.00255422,0.000926998,0.001208399,0.001289717,0.184809617,0.044309914,0.000343061,0.010613167,0.554764588,0.050717357,0.001199086,0.145670051,0.008099801,0.422375448
2010,0.082159889,0.04069258,0.018461245,0.003362417,0.001043428,0.001207517,0.001265488,0.190058908,0.045482242,0.000374045,0.01358543,0.56518655,0.046510146,0.001784658,0.16919435,0.020716725,0.405211381
2011,0.081691024,0.043361043,0.019392255,0.003156771,0.001171981,0.001163251,0.001195238,0.184210675,0.044791416,0.000373518,0.01523526,0.557750028,0.042638603,0.001312854,0.136484196,0.011097109,0.390142547
2012,0.082750869,0.044921538,0.01700152,0.003981027,0.001059995,0.00092914,0.000944295,0.184540115,0.045766327,0.000431174,0.014774756,0.584536059,0.043008773,0.00172254,0.15192874,0.00229016,0.401218665
2013,0.078564511,0.047907198,0.017693968,0.004587199,0.001273345,0.000865812,0.000867826,0.181277618,0.047451893,0.000400476,0.013508455,0.589993196,0.039244119,0.001350558,0.139707889,0.0236155,0.38532471
